Execution_Time,CPU,Disk,Memory,Heap,Threads
15956.2,10,674270980.2,39,0.560873098,20.51724138
26718.2,10,691031379.9,39,0.268685718,115.25
150479.8,10,718624113.7,39,0.585061833,66.72043011
145447.4,10,754436703.5,39,0.285932984,59.09090909
266184.8,10,791267134,39,0.596827927,72.72727273
16578.2,10,819059564.4,39,0.329203649,15.9375
15509,10,833594426.2,39,0.632205336,30.83333333
19609.4,10,849082176.6,40,0.36119629,20.27777778
118396.2,10,863559687.7,40,0.693745721,51
26869.4,10,875231511.6,40,0.442873722,52.94117647
14592.8,10,886244604.8,40,0.749682035,65.58823529
15518,10,896975144.5,40,0.57282612,62
39238,10,908417510.2,40,0.3265421,65.90909091
53077.4,5.625,145810292.3,26,0.161123497,0
68631.8,0,145838577,26,0.512212244,34
18902.8,2,128229197.3,13.75,0.108057851,5.3125
18858.8,3,144168387,16.88,0.243361222,15.6
17431.2,3.85,157166475.7,25.1,0.452140029,25.25
19614.2,4.285714286,168925532.7,37,0.669993023,36.9047619
35060.2,6.857142857,180838886.5,39,0.761294986,46.78571429
42500,0,0,0,0,0
17645.2,2,127155329.4,14,0.073352934,5.555555556
18498.8,3,142017096.1,14,0.189526764,15.43478261
19299.8,3,157375260.7,14,0.180525937,20.73529412
17825.6,3,171755144.5,14.9,0.198026072,36.75
18698,4,183511742.7,16,0.204904727,45.5
19382.4,4,195599553.6,17,0.266667549,55.95238095
18206.8,5,208101515.9,18.63636364,0.300432173,65.90909091
19462.2,5.75,220308611.6,20.4,0.34065356,76.75
23095.8,6,231955076.2,22,0.373302399,85.78947368
67103,7,244817984.3,23.85185185,0.43118307,96.2962963
58316.2,7.7,259686285.7,26.46666667,0.496160598,105.3333333
66953.6,8,277397584.4,29.27906977,0.575874412,115.1162791
14836.4,8.838709677,294971332.3,34,0.726107578,5.806451613
15566.6,9,310523691.2,38,0.283058349,5.483870968
16476.4,9,325521999.4,38,0.382180859,11.07142857
14510.2,9.9,339002589.5,38,0.490790898,35.75
100684.6,9.321428571,352289342.5,38,0.597550614,36.25
16155.8,10,365034412.2,38,0.71718631,55
106685.4,10,376293975.3,39,0.338626041,67.5
16021.8,10,387310752.7,39,0.44638117,78
16713.2,10,398495756.4,39,0.576937122,85.78947368
19744.8,2.333333333,127531182.3,13.91666667,0.119687484,5.833333333
18040.8,3,142955610.9,13.96,0.194994613,15.6
17631,3,156280045.4,14,0.1560173,24.13043478
13923.2,4,169351462.8,14.81818182,0.194189967,36.36363636
17213.2,4,180841527.3,16,0.215829014,46.11111111
18847,4.789473684,192254197.8,17,0.222126623,56.31578947
17933,5,203232398.4,18.06666667,0.301854995,66.33333333
16747.6,6,213002197,19.76923077,0.278124046,76.53846154
18540.6,6,223921863.7,21.14285714,0.353708978,86.42857143
48262.6,7,237064553.5,23.46153846,0.439866936,95.57692308
80455.8,7.766666667,251431460.2,25.6,0.474000821,105.5
80865,8.025,268719496.4,28.875,0.593106781,115.75
15023.6,9,286966826.7,33,0.699071529,5.405405405
79937,9.4375,303581133.2,37,0.296047818,15.625
13896,9,317323632.5,37,0.417886734,26.11111111
16576.6,10,330889098,37,0.503350022,15.75757576
17163.4,10,345829367.2,37,0.637573418,46.2
30719.6,10,358076133.4,37,0.739942568,56.25
15242,10,369345361.2,39,0.287783052,66.57894737
15426.8,10,380292598.3,39,0.419031905,77.5
89500.4,10,391349275.3,39,0.540163532,81.05263158
99688.8,10,402751166.1,39,0.690138588,91.66666667
111985.4,10,415447378.8,39,0.473928689,100.1785714
117791.4,10,432572265,39,0.411795131,115.2325581
131053.6,10,460190918.5,39,0.604772285,56.61111111
131988.8,10,496686719,39,0.546172632,63.52631579
13364,10,523745094.7,39,0.476425205,10.78125
62766,10.95652174,537959424.9,39,0.681951393,20.43478261
15325.8,11,554664461.3,39,0.31009812,14.86842105
16123,11,570502217.9,39,0.486933051,26.66666667
17250.4,11,583755086.9,39,0.722166185,46.66666667
18386,11,596591646.9,39,0.351435776,46
15967.2,11,607474397.9,39,0.595629933,71.78571429
17736.8,11,618554244,39,0.280832285,66.19047619
118193,10.44444444,630137745.6,39,0.52141034,76.38888889
18904.2,10,642351721,39,0.265299641,85.86956522
58174.6,10,655802265.6,39,0.523318552,100.1851852
21880.4,10,669949592.5,39,0.270507373,105.9615385
144717.2,10,694387307,39.13483146,0.543255048,58.31460674
142112,10,728847884.5,39.0952381,0.405621462,50.29761905
127481.8,10,752868143,39,0.518438962,85.96153846
16805.2,10,767883974.8,39.12903226,0.342424496,11.4516129
18230.6,10,783523861.4,39,0.669284547,20.48387097
13631.4,10,799559478.2,39,0.3756988,25.96774194
14915.8,10,813424424.1,39,0.698391089,26.30434783
16319,10,827664751.7,39.20689655,0.518027701,10.68965517
121780.8,10,840296491.1,39,0.4476575,60.625
15085.2,10,850792276.1,39,0.631908272,66
16906,10,861181054,39,0.466334513,56.33333333
129103,12.33333333,872480200.8,39,0.419240296,80.71428571
129015.4,10,885377258.7,39,0.612211039,95.55555556
18133,2,128366108.4,13.5,0.135700446,5.9375
17827.6,2.7,143524532.1,17,0.24616015,15.5
20145.4,3.678571429,156713179.3,27,0.51624048,26.60714286
20208,4.4,169970770.2,38,0.700468112,36
113663,12.21052632,203165212.9,37.89473684,0.771802909,47.10526316
173562,25.84210526,578017580.3,32.31578947,0.676525839,55.26315789
215412,21.9375,582970293.1,30.8125,0.650653184,66.5625
19876.2,2,126673394.8,13.66666667,0.170628592,6.666666667
17725.2,2.5,142614554.6,18.26666667,0.272359853,15.66666667
16932.4,3.043478261,156769363.4,29.86956522,0.608624718,26.52173913
23118.6,4.2,169972496.2,38,0.71038635,36
190000.4,15.15789474,551775193.6,20.94736842,0.383964124,46.84210526
197321.6,19.71428571,575692241.6,25.35714286,0.497929684,56.42857143
220514.8,17.93333333,579760125.2,29.2,0.616990089,65
28249.2,22.46666667,449746350.1,33,0.711281172,76
200774.6,20.92307692,471499515,31.38461538,0.658225414,90.38461538
327259.4,27,545750009.5,36.06666667,0.784089739,95.66666667
19094.6,2,129468232.1,13.54545455,0.132982247,6.136363636
18304.6,2.434782609,146008618.9,16.95652174,0.258519155,15.43478261
17940.6,3,158432299.9,24.5,0.452808469,27
22015.8,4,170425605.1,37,0.675066748,36.36363636
20896.2,5,374423001.4,14.6,0.153384405,56.5
17369.6,6,387887811.5,16,0.213617197,66.66666667
21758,7,398446297.2,18,0.275689597,75.26315789
20113,8,409560004.9,19.875,0.349235329,85.3125
20199.6,9,422871621.9,21.58064516,0.372397148,95.80645161
32213.2,9.333333333,438705585.3,24.09090909,0.460403499,105.6060606
54027.4,9.790697674,456706185,27.13953488,0.513619589,115.6976744
14936.4,10,474811615.4,31.91176471,0.632561865,6.323529412
16437.2,10,491656002.9,35,0.741848198,5
15426.4,11,509092494.2,39,0.31060087,26
15543,10,524362629.7,39,0.419758294,21.53846154
62588.2,10.91304348,537777733.8,39,0.548801984,20.86956522
17096.8,10,550048630.7,39,0.622788784,56.31578947
107989.2,10,561322408.3,39,0.366890812,62.5
32882.6,10.95454545,573472883.8,39,0.392269918,76.13636364
17582.2,11,585337948.4,39,0.503069824,77.36842105
20297.6,10.2,597937332.3,39,0.641724617,95.6
56715,10.59375,612536240.1,39,0.763157916,105.3125
114579,10.525,629952359.1,39,0.450797347,115.5
134464.4,10.83333333,655984965.5,39,0.638608396,59.28571429
133942.4,10.95789474,691467678.7,39,0.456416682,62.10526316
236661,11,728647169.5,39.0106383,0.43842368,70.63829787
16109.6,11,755792491.9,39,0.670468483,5.428571429
14739.8,11,771589509.4,39,0.268257776,25.76923077
15986.4,11,784720117.3,39,0.478026853,37.72727273
33703.2,11,796831593.7,39,0.716441543,46.66666667
19223.4,11,808655791.2,40,0.400423993,46.19047619
38723.4,10,819809330.8,40,0.633344453,73.125
21430.6,10,831014346.3,40,0.274625199,66.05263158
24128.4,10,842809945.7,40,0.500490593,91.25
114717.6,10,854677033.4,40,0.75384649,85.25
